ID Caso;ID Caso Relacionado;Año;Mes;Día;Código DANE de Municipio;Municipio;Departamento;Región;Modalidad;Presunto Responsable;Descripción Presunto Responsable;Abandono o Despojo Forzado de Tierras;Amenaza o Intimidación;Ataque Contra Misión Médica;Confinamiento o Restricción a la Movilidad;Desplazamiento Forzado;Extorsión;Lesionados Civiles;Pillaje;Tortura;Violencia Basada en Género;Otro Hecho Simultáneo;Total de Víctimas del Caso;Tipo de Armas;Latitud;Longitud
289018;CR2017289018;1989;02;11;13430;MAGANGUE;BOLIVAR;SUR DE BOLIVAR;ATAQUE INDISCRIMINADO;GUERRILLA;ELN;0;0;0;0;1;0;12;0;0;;ACCION BELICA;5;ARMA DE FUEGO;8,843844563;-74,46549597
289019;;1989;02;11;70265;GUARANDA;SUCRE;LA MOJANA;INTERCEPTACIÓN;GUERRILLA;ELN;0;0;0;0;0;0;14;0;0;;;5;ARMA DE FUEGO - ARTEFACTO EXPLOSIVO;8,337828523;-74,68734926
289020;;1989;02;15;66594;QUINCHIA;RISARALDA;EJE CAFETERO;RETENCIÓN/EJECUCIÓN;GRUPO PARAMILITAR;NO IDENTIFICADO;1;0;0;0;1;0;0;0;4;;;4;ARMA DE FUEGO;5,317219829;-75,73454952
289021;CR010124;1989;02;18;15480;MUZO;BOYACA;ALTIPLANO CUNDIBOYACENSE;DESCONOCIDA;DESCONOCIDO;NO APLICA;1;0;0;0;1;0;1;0;0;;;4;ARMA DE FUEGO;5,539429272;-74,11177139
289022;;1989;02;27;11001;BOGOTA, D.C.;BOGOTA, D. C.;AREA METROPOLITANA DE BOGOTA;ASALTO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;4,316107698;-74,1810727
289024;;1989;03;12;05604;REMEDIOS;ANTIOQUIA;NORDESTE ANTIOQUEÑO;INCURSIÓN;GRUPO PARAMILITAR;OTRO;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;6,94515423;-74,74271165
289026;;1989;03;18;66594;QUINCHIA;RISARALDA;EJE CAFETERO;INCURSIÓN;GUERRILLA;EPL;0;0;0;0;0;0;0;0;1;;;4;ND;5,323906864;-75,71339683
289027;;1989;03;19;25530;PARATEBUENO;CUNDINAMARCA;PIEDEMONTE LLANERO;ATAQUE INDISCRIMINADO;AGENTE DEL ESTADO;POLICÍA NACIONAL;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;4,630278536;-73,22154408
289028;;1989;03;26;20032;ASTREA;CESAR;SERRANIA DEL PERIJA;ATAQUE INDISCRIMINADO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;9,498062;-73,975842
289030;;1989;03;27;73555;PLANADAS;TOLIMA;SUR DEL TOLIMA;DESCONOCIDA;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;7;ND;3,09897343;-75,81684413
289031;;1989;04;05;68689;SAN VICENTE DE CHUCURI;SANTANDER;MAGDALENA MEDIO;REUNIÓN PÚBLICA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;6,830828057;-73,71248156
289032;;1989;04;07;50573;PUERTO LOPEZ;META;ALTILLANURA;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;4,014298921;-72,64570499
289033;;1989;04;17;68081;BARRANCABERMEJA;SANTANDER;MAGDALENA MEDIO;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;5;ARMA DE FUEGO;7,054074558;-73,78211646
289034;;1989;04;20;18753;SAN VICENTE DEL CAGUAN;CAQUETA;CAGUAN;DESCONOCIDA;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;6;ND;1,308465061;-74,19746971
289035;;1989;04;21;18610;SAN JOSE DEL FRAGUA;CAQUETA;FLORENCIA Y AREA DE INFLUENCIA;DESCONOCIDA;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;4;ND;1,226364303;-76,09236534
289036;;1989;04;22;13074;BARRANCO DE LOBA;BOLIVAR;SUR DE BOLIVAR;RETENCIÓN/EJECUCIÓN;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;2-OCULTAMIENTO DE CADÁVER;5;ND;8,896758423;-74,11004175
289037;;1989;04;28;15442;MARIPI;BOYACA;ALTIPLANO CUNDIBOYACENSE;INCURSIÓN;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;7;ARMA DE FUEGO;5,614868552;-74,04453579
289039;;1989;05;25;68655;SABANA DE TORRES;SANTANDER;MAGDALENA MEDIO;ASALTO;GUERRILLA;ELN;1;0;0;0;1;0;0;0;0;;;4;ND;7,4065422;-73,57131807
289041;;1989;06;01;76863;VERSALLES;VALLE DEL CAUCA;NORTE DEL VALLE;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;1;;;5;ND;4,644242641;-76,25924483
289042;;1989;06;05;20621;LA PAZ;CESAR;SERRANIA DEL PERIJA;ASALTO;GUERRILLA;ELN;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;10,34863995;-73,05124522
289043;;1989;06;13;13244;EL CARMEN DE BOLIVAR;BOLIVAR;MONTES DE MARIA;DESCONOCIDA;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;1;0;0;0;0;;;4;ARMA DE FUEGO;9,699819876;-75,15793573
289044;;1989;06;16;50683;SAN JUAN DE ARAMA;META;ARIARI GUAYABERO;ATENTADO;GUERRILLA;FARC;0;0;0;0;0;0;0;0;0;;;6;ARTEFACTO EXPLOSIVO;3,289851171;-73,81635243
289046;;1989;06;24;15531;PAUNA;BOYACA;ALTIPLANO CUNDIBOYACENSE;DESCONOCIDA;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;1;0;0;;;4;ND;5,688801559;-74,00504122
289047;;1989;06;24;15531;PAUNA;BOYACA;ALTIPLANO CUNDIBOYACENSE;INCURSIÓN;GUERRILLA;NO IDENTIFICADA;0;0;0;0;0;0;0;0;0;;;5;ND;5,688801559;-74,00504122
289048;;1989;06;24;05585;PUERTO NARE;ANTIOQUIA;MAGDALENA MEDIO;RETENCIÓN/EJECUCIÓN;GUERRILLA;FARC;0;0;0;0;1;0;0;1;0;;;5;ND;6,126539139;-74,70317722
289049;;1989;06;28;41298;GARZON;HUILA;SUR DEL HUILA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;1;0;0;0;1;0;2;0;0;;VENTA A BAJO PRECIO;4;ARMA DE FUEGO;2,071843274;-75,6830171
289050;;1989;07;08;50683;SAN JUAN DE ARAMA;META;ARIARI GUAYABERO;ASALTO;GRUPO PARAMILITAR;NO IDENTIFICADO;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;3,289851171;-73,81635243
289051;CR020104;1989;07;21;23807;TIERRALTA;CORDOBA;URABA;RETENCIÓN/EJECUCIÓN;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;5;ND;7,813896829;-76,16846678
289052;;1989;07;22;19130;CAJIBIO;CAUCA;NORTE DEL CAUCA;ASALTO;GRUPO ARMADO NO IDENTIFICADO;NO APLICA;0;0;0;0;0;0;0;0;0;;;4;ARMA DE FUEGO;2,664867073;-76,70298371
